job_title,job_n,document
365 dev,2,KIND_1
365 engineer,1,KIND_2
academic librarian and editor,1,KIND_3
acting clinical trial service manager,1,KIND_4
admin & clerical assistant,1,KIND_5
admin assistant,7,KIND_6
admin assistant - nmahp,1,KIND_7
admin officer,7,KIND_8
admin officer - medical,5,KIND_9
admin officer - workforce infrastructure,1,KIND_10
admin officer/administrator,2,KIND_11
admin support,4,KIND_12
admin support assistant,1,KIND_13
admin team supervisor,1,KIND_14
admininstrative support,1,KIND_15
administration assistant,3,KIND_16
administration officer,3,KIND_17
administrative assistant,1,KIND_18
administrative assistant (dental),1,KIND_19
administrative support,3,KIND_20
administrator,4,KIND_21
administrator - organisational leadership & development,1,KIND_22
administrator for public protection and mental health,1,KIND_23
"administrator for public protection, mental health and learning disabilities",6,KIND_24
adp coordinator,2,KIND_25
adp lead officer,2,KIND_26
adp performance officer,1,KIND_27
adp project officer,1,KIND_28
advanced paramedic practitioner,2,KIND_29
advanced practitioner,1,KIND_30
advanced practitioner occupational therapist,6,KIND_31
adviser,1,KIND_32
ahp practice education lead,2,KIND_33
airline manifest officer,5,KIND_34
alcohol & drugs partnership coordinator,1,KIND_35
analyst,24,KIND_36
analyst / statistician,1,KIND_37
analyst business partner,2,KIND_38
analyst business partner - digital,11,KIND_39
analytical bi services team lead,1,KIND_40
analytics,1,KIND_41
anticipatory care programme manager,4,KIND_42
application support team leader,1,KIND_43
applications architect,2,KIND_44
appraisal administrator,2,KIND_45
assess / react care wl,3,KIND_46
assistant analyst,8,KIND_47
assistant director,1,KIND_48
assistant inforamtion analyst,4,KIND_49
assistant information analyst,3,KIND_50
assistant information governance officer,9,KIND_51
assistant librarian,11,KIND_52
assistant librarian / neurology decision support manager,1,KIND_53
assistant primary care manager - intelligence & performance,1,KIND_54
assistant psychologist,2,KIND_55
assistant service manager,3,KIND_56
assistant service planning analyst,9,KIND_57
associate director,1,KIND_58
associate quality improvement advisor,7,KIND_59
asst. performance and intelligence manager,2,KIND_60
audit coordinator,3,KIND_61
bi application manager,2,KIND_62
bi developer,4,KIND_63
bi lead,4,KIND_64
bms band 6,3,KIND_65
business analyst,3,KIND_66
business analyst - nds,3,KIND_67
business and administration manager,1,KIND_68
business development and practice manager,1,KIND_69
business improvement officer,1,KIND_70
business intelligence and data warehouse manager,3,KIND_71
business intelligence developer,5,KIND_72
business intelligence lead,1,KIND_73
business intelligence manager,3,KIND_74
business intelligence project manager,1,KIND_75
business intelligence services manager,1,KIND_76
business intelligence solution developer,3,KIND_77
business intelligence technical analyst,1,KIND_78
business manager,8,KIND_79
"business manager - finance, administration & workforce",1,KIND_80
business support analyst (trainee),1,KIND_81
business support analyst trainee,4,KIND_82
business support group manager,2,KIND_83
business support manager,4,KIND_84
business support officer,5,KIND_85
camhs clinical pharmacist,3,KIND_86
cancer audit co-ordinator,1,KIND_87
cancer audit coordinator,2,KIND_88
cancer audit facilitator,6,KIND_89
cancer clinical trials quality assurance officer,1,KIND_90
cancer information analyst,1,KIND_91
cancer intelligence analyst,3,KIND_92
cardiac,1,KIND_93
care at home coordinator,3,KIND_94
care home education facilitator,2,KIND_95
cd ehealth,1,KIND_96
change business partner,2,KIND_97
chief internal auditor,2,KIND_98
clinical & scientific informat,1,KIND_99
clinical audit co-ordinator (cancer),1,KIND_100
clinical audit programme manager,3,KIND_101
clinical coding administrator,1,KIND_102
clinical coding manager,1,KIND_103
clinical coding tutor,8,KIND_104
clinical coordinator sicsag,1,KIND_105
clinical data analysis,1,KIND_106
clinical data analyst,11,KIND_107
clinical data co-ordinator,4,KIND_108
clinical fellow,1,KIND_109
clinical improvement coordinator,5,KIND_110
clinical informatician,1,KIND_111
clinical informatics coordinator,5,KIND_112
clinical lead e-health,1,KIND_113
clinical librarian,1,KIND_114
clinical performance manager,1,KIND_115
clinical procurement manager,3,KIND_116
clinical quality co-ordinator,11,KIND_117
clinical quality coordinator,8,KIND_118
clinical quality manager,1,KIND_119
clinical reader,2,KIND_120
clinical research coder,2,KIND_121
clinical scientist (trainee),1,KIND_122
"clinical scientist, lead for surveillance",2,KIND_123
clinical service manager,3,KIND_124
clinical systems manager (clinical lead morse),1,KIND_125
clinician,1,KIND_126
communications and engagement manager,3,KIND_127
communications and events assistant,1,KIND_128
community initiatives manager,1,KIND_129
community physiotherapist,2,KIND_130
consultant,10,KIND_131
consultant clinical informatician,2,KIND_132
consultant clinical psychologist,3,KIND_133
consultant geriatrician,1,KIND_134
consultant in public health,16,KIND_135
consultant in public health medicine,5,KIND_136
consultant in public medical medicine,4,KIND_137
consultant microbiologist,6,KIND_138
consultant nurse,4,KIND_139
consultant paediatric intensivist,1,KIND_140
consultant pathologist,1,KIND_141
consultant public health,4,KIND_142
consultant public health medicine,3,KIND_143
"consultant, public health / health protection",1,KIND_144
contact tracer,6,KIND_145
contact tracing practitioner,2,KIND_146
contract administrator,3,KIND_147
coo,1,KIND_148
corporate performance manager,4,KIND_149
corporate planning & performance manager,1,KIND_150
corporate planning officer,4,KIND_151
corporate records manager,3,KIND_152
cph,1,KIND_153
cphm,1,KIND_154
crm database marketing manager,3,KIND_155
csmen educational resource developer,2,KIND_156
cynical information manager,1,KIND_157
cyp & f occupational therapy team lead,1,KIND_158
d&i lead nurse,3,KIND_159
data & measurement advisor,15,KIND_160
data analst,1,KIND_161
data analyst,61,KIND_162
data analyst (muis),2,KIND_163
data and measurement advisor,3,KIND_164
data assistant,6,KIND_165
data clinical analyst,1,KIND_166
data co-ordinator,1,KIND_167
data engineer,8,KIND_168
data lead,4,KIND_169
data lead (connect me programme),1,KIND_170
"data lead, connect me",1,KIND_171
"data lead, connect me programme",4,KIND_172
data management officer,43,KIND_173
data manager,27,KIND_174
data measurement advisor,1,KIND_175
data performance assistant,2,KIND_176
data protection advisor,2,KIND_177
data protection analyst,1,KIND_178
data protection support officer,3,KIND_179
data quality & coding manager,1,KIND_180
data quality assistant,1,KIND_181
data quality supervisor,1,KIND_182
data support,1,KIND_183
data support officer,1,KIND_184
data surveillance officer,3,KIND_185
data visualisation technical lead,3,KIND_186
data viz lead,11,KIND_187
data/quality officer,2,KIND_188
deputy data quality manager,1,KIND_189
deputy laboratory computer manager,3,KIND_190
developer,1,KIND_191
"developer, cancer information team",1,KIND_192
development manager,3,KIND_193
diabetes prevention programme manager,5,KIND_194
diabetes prevention project co-ordinator,2,KIND_195
dietitian,2,KIND_196
digital engagement officer,1,KIND_197
digital learning advisor,4,KIND_198
digital learning lead,6,KIND_199
digital learning specialist,6,KIND_200
digital participation officer,1,KIND_201
digital projects manager,5,KIND_202
digital transformation officer,1,KIND_203
digital workforce business analyst,6,KIND_204
director of housing,1,KIND_205
director of housing services,1,KIND_206
directorate support officer,1,KIND_207
doctor,2,KIND_208
drug death analyst,3,KIND_209
drugs related death co-ordina tor,1,KIND_210
drugs related death co-ordinator,6,KIND_211
education & training manager (labs),3,KIND_212
education and training manager,3,KIND_213
education development facilitor - practice educator,3,KIND_214
educational resource developer,8,KIND_215
efficiency & productivity i,3,KIND_216
ehealth & infrastructure team lea,1,KIND_217
ehealth facilitator,2,KIND_218
elective care & recovery,3,KIND_219
engagement manager,2,KIND_220
enhanced recovery after surgery (eras) nurse specialist,1,KIND_221
enteral nurse specialist,1,KIND_222
enterprise/solution architect,1,KIND_223
epidemiologist,1,KIND_224
eresources librarian,1,KIND_225
erostering facilitator,1,KIND_226
erostering prgramme manager,1,KIND_227
evaluation & change team manager,3,KIND_228
evidence  manager,3,KIND_229
evidence and evaluation specialist,1,KIND_230
evidence and information scientist,1,KIND_231
evidence manager,1,KIND_232
evidence programme lead,1,KIND_233
executive directorate manager,1,KIND_234
expansion workforce data lead,1,KIND_235
"facilitator, education learning and development",2,KIND_236
faculty learning tech lead shs,1,KIND_237
falkirk council,1,KIND_238
finance manager - costing & informatics,1,KIND_239
finance manager - costing & strategic programmes,4,KIND_240
fnp systems & administration manager,1,KIND_241
fnp systems manager,5,KIND_242
general practitioner and cluster quality lead,1,KIND_243
genetic genealogist,1,KIND_244
gms contract manager,4,KIND_245
governance & executive assistant,1,KIND_246
gp,3,KIND_247
gp appraisal administrator,4,KIND_248
gp lead,1,KIND_249
gp lead & clinical informatician,3,KIND_250
gp principal,2,KIND_251
graduate intern,5,KIND_252
hai surveillance lead,8,KIND_253
hbi developer,2,KIND_254
head of business services,1,KIND_255
"head of data, measurement & business intelligence",3,KIND_256
head of digital strategic delivery,7,KIND_257
head of evaluation,1,KIND_258
head of evidence,4,KIND_259
head of health records,1,KIND_260
"head of health, wellbeing & social care",3,KIND_261
head of hr - workforce planning,1,KIND_262
head of im&t and ehealth,3,KIND_263
head of information and digital technology,2,KIND_264
head of information and records management,2,KIND_265
head of information governance and cyber assurance,2,KIND_266
head of information governance/data protection officer,3,KIND_267
head of information management,4,KIND_268
head of information services,3,KIND_269
"head of learning, development & innovation",1,KIND_270
head of performance and insights,6,KIND_271
head of planning and information,3,KIND_272
head of planning and performance,1,KIND_273
head of primary care support,1,KIND_274
head of programme (pcc) - nmahp,1,KIND_276
head of programme - digital,4,KIND_275
head of programmes and development,1,KIND_277
head of public health intelligence and information services,1,KIND_278
head of rdi,2,KIND_279
"head of research, development and innovation",2,KIND_280
head of service,4,KIND_281
"head of service, national clinical safety assuranc",1,KIND_282
head of strategic planning and performance,2,KIND_283
head of workforce planning,1,KIND_284
head public health intelligence,2,KIND_285
health & business intelligence lead,4,KIND_286
"health & business intelligence lead, business unit",3,KIND_287
health analyst,4,KIND_288
health economist,2,KIND_289
health improvement advisor,1,KIND_290
health improvement development officer,1,KIND_291
health improvement information & resource officer,3,KIND_292
health improvement information and resource officer,3,KIND_293
health improvement lead,8,KIND_294
health improvement lead (mental health),1,KIND_296
health improvement lead - hln & inequalities,1,KIND_295
health improvement lead:  communities,2,KIND_297
health improvement manager,4,KIND_298
health improvement officer,1,KIND_299
health improvement officer - neighbourhoods,1,KIND_300
health improvement practitioner,21,KIND_301
health improvement principal,2,KIND_302
health improvement senior,16,KIND_303
"health improvement senior - tobacco, alcohol & other substances",1,KIND_304
health improvement senior - training,3,KIND_305
health improvement senior digital communications,3,KIND_306
health improvement specialist,2,KIND_307
health informatics lead,1,KIND_308
health information analyst,10,KIND_309
health information officer,2,KIND_310
health information scientist,11,KIND_311
health intelligence analyst,39,KIND_312
health intelligence analyst specialist,2,KIND_313
health intelligence data analysis assistant,2,KIND_314
health intelligence information analyst,1,KIND_315
health intelligence lead,1,KIND_316
health intelligence officer,9,KIND_317
health intelligence team leader,1,KIND_318
health promotion,3,KIND_319
health promotion officer,1,KIND_320
health promotion worker,3,KIND_321
health protection officer,7,KIND_322
health records manager,3,KIND_323
health service researcher,7,KIND_324
health services reseacher,2,KIND_325
health services researcher,12,KIND_326
healthcare scientist,17,KIND_327
healthcare scientist (advanced) in epidemiology,2,KIND_328
healthcare scientist (epidemiologist),1,KIND_329
healthcare scientist (epidemiology),7,KIND_330
healthcare scientist (health protection),1,KIND_331
healthcare scientist advanced,11,KIND_332
healthcare scientist advanced (epidemiology),3,KIND_333
healthcare scientist assistant,3,KIND_334
healthcare scientist principal,1,KIND_335
hepma data analyst,3,KIND_336
hepma pharmacist,3,KIND_337
