Area,Question
"Problems, problem-solving, and challenges", "Not everyone we encounter is as cooperative as we would like.  Tell me about a time someone refused to do something you needed to have done.  How did you respond?"
"Problems, problem-solving, and challenges", Getting the job done may necessitate unusual persistence or dedication to results especially when faced with obstacles or distractions. Tell me about a time in which you were able to be very persistent in order to reach goals. Be specific.
"Problems, problem-solving, and challenges", Tell me about a high stress situation when it was desirable for you to keep a positive attitude.  What happened? How did it impact your efficiency?  How did you deal with it?
"Problems, problem-solving, and challenges","Describe a challenging situation where priorities shifted, and you had to balance both people and business needs. How did you approach and what strategies helped you manage it effectively?"
"Problems, problem-solving, and challenges","Describe a problem that you needed to solve in your last role. What was the impact of this?"
"Problems, problem-solving, and challenges","Describe a problem that you recently needed to solve. Were there any alternatives you could have considered?"
"Problems, problem-solving, and challenges","Describe the steps you take when solving a problem. Give me an example."
"Problems, problem-solving, and challenges","Good problem solving often includes careful review of the facts and weighing of the options before making a decision. Give an example of how you tracked down information from different sources and applied it to a decision you made."
"Problems, problem-solving, and challenges","Tell us about a time you encountered resistance to change within a team or organization. How did you recognize the resistance, and what steps did you take to manage it? Who did you consult, and what was the outcome?"
Accountability and Managing Priorities,"Describe a time when you have been unable to follow through on a commitment that you made. What happened? How did you explain this to the other party?"
Accountability and Managing Priorities,"Describe one of the more complicated situations you have experienced in which priorities changed and you had to re-balance people and business needs. What was the nature of the change, what was your approach, what were some of the major problems faced and why?"
Accountability and Managing Priorities,"Some jobs are very hectic at times. Please give an example of when you managed to get everything done in a pressured time. What strategies did you use to ensure timely, high quality results?"
Accountability and Managing Priorities,"Tell me about a time when you had more to complete than the time you had allocated. How did you decide what tasks to prioritise?"
Accountability and Managing Priorities,"Think of a time when you had many demands placed upon you. How did you ensure that you met the needs of your customers, co-workers and your managers?"
Accountability and Managing Priorities,Give a specific example of how you have demonstrated your ability to handle multiple priorities and deliver results
Adaptability,"We can’t always get the support we need.  Tell me about a time you needed some help (technical or other), and you couldn’t get it.  How did you handle the situation?"
Adaptability,Describe a time when you needed to complete a project with little direction. What issues did you face?
Adaptability,Describe a time you were experiencing conflicting work demands.  What were those conflicting demands? How did you respond?
Adaptability,Discuss a time when you had to deal with a major change in your workplace or your job duties. How did you prepare for the change?
Adaptability,Give an example of when you needed to meet multiple priorities. How did you handle this?
Adaptability,Provide an example of when you had to take action and did not have sufficient time to prepare. How did you adapt to this situation?
Adaptability,Tell me about a time when you needed to change your point of view?
