Location,Location type,Name,url,Phone
PHS,Employer,Time to Talk,,
NHS Borders,Employer,Tackling Money Worries App,https://www.nhsborders.scot.nhs.uk/patients-and-visitors/our-services/children-young-peoples-services-directory/health-improvement-team/money-worries-app/,
NHS Borders,Employer,Helping yourself and others](),https://www.nhsborders.scot.nhs.uk/creating-hope/help-yourself-and-others/,
NHS Lothian,Employer,Bereavement service,,
Highland,Region,,,
Highland,Region,Highland Hospice Bereavement Support for adults and children,https://highlandhospice.org/what-we-do/community-services/bereavement-services,
Edinburgh,Region,The Edinburgh Crisis Centre,https://edinburghcrisiscentre.org.uk,0808 801 0414
Edinburgh,Region,Edinburgh Mental Health Assessment Service,,0131 537 6000
Dundee,Region,Dundee Recovery Roadmap,https://bestmobileappawards.com/app-submission/dundee-recovery-road-map,
Glasgow,Region,Talking is Mental,https://www.talkingismental.com/,
Glasgow,Region,Wellbeing Services South Glasgow,https://www.wellbeing-glasgow.org.uk/,
